;;;;;;;;;;;;;;;;;;;;;
20.3 INGRESO DE VISITANTES EXTRANJEROS, SEGÚN LUGAR DE  ENTRADA, 2004 - 2013;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;
 Lugar de Entrada;;2001;2002;2003 a/;2004 ;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 P/;2013 P/;;;;;;;
  Total;; 939 947; 887 835;1 179 339;1 450 375;1 685 722;2 047 610;2 221 725;2 451 436;2 547 496;2 787 577;3 222 927;3 487 346;3 890 298;;;;;;;
  Aeropuerto Jorge Chávez (Callao);; 592 464; 615 981; 639 414; 777 794; 888 939; 919 165; 981 836;1 203 518;1 279 205;1 313 587;1 501 559;1 662 228;1 866 132;;;;;;;
  Puesto de control Santa Rosa (Tacna);; 238 034; 116 326; 359 685; 460 871; 607 767; 861 818; 944 256; 914 249; 926 645;1 106 450;1 337 865;1 405 792;1 552 518;;;;;;;
  Resto;; 109 449; 155 528; 180 240; 211 710; 189 016; 266 627; 295 633; 333 669; 341 646; 367 540; 383 503; 419 326; 471 648;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Nota:  A partir del 2004 las cifras de visitantes extranjeros fueron corregidas, se considera la totalidad de movimientos migratorios registrados por los distintos puestos de control fronterizos y puestos de control migratorios que se encuentran interconectados a nivel nacional.;;;;;;;;;;;;;;;;;;;;;
En el 2010,  las cifras han sido revisadas con información de los partes diarios de Control Migratorio de Lima y Provincias.;;;;;;;;;;;;;;;;;;;;;
Fuente: Superintendencia Nacional de Migraciones.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;2001 ;2002 ;2003 ;2004 ;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 E/
América del Norte 1/;;;;;;;;;;;;;;;;;;;;;
Cantidad de Arribos (Millones);;  92;  94;  96;  98;  100;  102;  104;  106;  108;  110;  112;  114;116;118;120;122;123;125;130;
Ingreso por Turismo Receptor (Millones US$);; 104 283; 108 728; 112 452; 116 304; 120 288; 123 980; 127 785; 131 088; 133 704; 136 400; 139 150; 141 955; 144 768; 147 420; 150 120; 152 869; 154 122; 156 875; 163 448;
Gasto Per cápita (US$);; 1 134; 1 157; 1 177; 1 187; 1 203; 1 215; 1 229; 1 237; 1 238; 1 240; 1 242; 1 245; 1 248; 1 249; 1 251; 1 253; 1 253; 1 255; 1 257;
América Central 2/;;;;;;;;;;;;;;;;;;;;;
Cantidad de Arribos (Millones);;  4;  4;  4;  5;  5;  5;  5;  6;  6;  7;  7;  7;  8;  9;  10;  11;  12;  13;  13;
Ingreso por Turismo Receptor (Millones US$);; 2 453; 2 609; 2 780; 2 962; 3 156; 3 350; 3 556; 3 775; 3 792; 4 585; 4 675; 4 809; 5 520; 6 336; 7 040; 7 822; 8 604; 9 321; 9 694;
Gasto Per cápita (US$);;  613;  652;  646;  592;  631;  670;  711;  629;  632;  655;  668;  687;  690;  704;  704;  705;  717;  717;  746;
Caribe 3/;;;;;;;;;;;;;;;;;;;;;
Cantidad de Arribos (Millones);;  18;  18;  19;  20;  21;  22;  23;  24;  24;  25;  26;  26;  27;  28;  29;  30;  31;  32;  34;
Ingreso por Turismo Receptor (Millones US$);; 16 828; 17 588; 18 644; 19 797; 21 021; 22 245; 23 540; 24 910; 25 032; 26 150; 27 321; 28 413; 29 538; 30 708; 31 842; 33 018; 34 119; 35 264; 37 027;
Gasto Per cápita (US$);;  935;  977; 1 007;  990; 1 001; 1 011; 1 023; 1 038; 1 043; 1 046; 1 051; 1 093; 1 094; 1 097; 1 098; 1 099; 1 101; 1 102; 1 809;
América del Sur 4/;;;;;;;;;;;;;;;;;;;;;
Cantidad de Arribos (Millones);;  20;  21;  23;  25;  26;  27;  28;  28;  29;  29;  30;  30;  31;  32;  34;  36;  38;  38;  38;
Ingreso por Turismo Receptor (Millones US$);; 18 202; 19 339; 20 448; 21 621; 22 861; 24 101; 25 408; 26 785; 27 123; 28 420; 29 786; 31 218; 32 302; 33 390; 35 496; 37 735; 39 831; 39 862; 40 261;
Gasto Per cápita (US$);;  910;  921;  907;  865;  879;  893;  907;  957;  935;  980;  992; 1 041; 1 042; 1 043; 1 044; 1 045; 1 048; 1 049; 1 060;
             ;;;;;;;;;;;;;;;;;;;;;
