artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2,2023,7,14,553,147,141381703,43,263,45,10,125,80,89,83,31,0,8,4
1,2023,3,23,1474,48,133716286,48,126,58,14,92,71,61,74,7,0,10,4
1,2023,6,30,1397,113,140003974,94,207,91,14,138,51,32,53,17,0,31,6
1,2019,8,23,7858,100,800840817,116,207,125,12,170,55,58,72,11,0,11,15
1,2023,5,18,3133,50,303236322,84,133,87,15,144,65,23,80,14,63,11,6
2,2023,6,1,2186,91,183706234,67,213,88,17,141,92,66,58,19,0,8,24
2,2023,3,16,3090,50,725980112,34,222,43,13,148,67,83,76,48,0,8,3
1,2023,7,7,714,43,58149378,25,89,30,13,100,67,26,71,37,0,11,4
1,2023,5,15,1096,83,95217315,60,210,48,11,130,85,22,62,12,0,28,9
2,2023,3,17,2953,44,553634067,49,110,66,13,170,81,56,48,21,0,8,33
2,2023,4,17,2876,40,505671438,41,205,54,12,83,57,56,72,23,0,27,5
1,2023,7,7,422,55,58255150,37,202,21,5,150,78,52,82,18,0,15,7
1,2023,1,12,12211,115,1316855716,300,215,745,58,118,71,65,68,6,0,3,7
1,2023,4,14,3528,98,387570742,80,156,182,24,130,51,32,43,83,0,9,3
1,2022,3,31,23575,130,2513188493,403,198,863,46,174,52,66,73,34,0,31,6
1,2022,12,8,8109,77,1163093654,183,162,161,12,89,64,43,73,5,17,16,4
1,2023,2,24,2942,77,496795686,91,212,78,6,120,78,76,59,43,0,34,3
1,2023,7,13,873,104,30546883,80,227,95,24,78,44,14,9,96,0,10,3
2,2023,3,31,2610,40,335222234,43,100,54,14,100,86,67,66,14,0,12,16
1,2023,3,24,596,68,363369738,8,104,23,2,120,63,36,73,0,0,36,4
3,2023,6,22,332,26,86444842,11,163,10,4,140,65,87,74,22,0,42,4
1,2023,7,7,516,38,52135248,73,119,42,1,123,69,82,76,6,0,6,3
1,2013,1,1,12859,110,1297026226,24,98,582,2,135,48,44,42,12,2,11,3
2,2023,5,31,1313,40,200647221,17,152,32,11,133,85,81,67,26,0,12,5
3,2023,6,2,1945,87,115364561,74,182,87,14,99,85,83,68,7,0,36,20
1,2023,6,22,250,26,78300654,16,149,10,5,130,79,96,86,9,0,9,9
2,2022,3,25,7112,77,899183384,202,119,318,38,107,80,82,80,43,0,14,4
2,2023,6,29,859,40,61245289,35,109,41,14,122,81,74,71,14,0,56,4
1,2023,1,31,2420,19,429829812,52,107,15,1,204,52,52,68,46,0,15,4
1,2023,5,25,2988,101,127408954,0,0,143,38,110,67,78,85,2,0,33,5
1,2023,7,13,864,78,22581161,71,135,50,1,126,74,35,84,0,0,11,6
2,2023,6,28,266,34,52294266,20,185,13,8,168,56,63,87,39,0,11,5
3,2022,12,2,6036,88,843957510,113,149,245,23,98,71,17,61,36,0,8,5
1,2022,10,21,9082,56,999748277,242,142,165,9,97,64,51,63,12,0,19,5
2,2023,2,23,4284,49,618990393,115,123,184,18,180,72,61,63,67,0,9,28
8,2023,6,1,1150,31,123122413,22,33,34,7,120,81,63,68,11,0,11,4
2,2023,4,7,672,34,188933502,19,108,24,9,150,61,39,73,37,0,11,3
1,2014,1,1,11434,53,1355959075,154,123,410,2,96,75,57,68,9,0,13,6
1,2014,1,1,7830,42,786181836,94,111,151,4,95,60,48,79,0,0,12,4
1,2023,5,19,584,28,176553476,16,159,15,6,125,79,96,85,27,0,11,6
2,2023,2,10,692,25,354495408,10,107,6,3,144,56,84,65,23,0,10,6
2,2018,10,9,24094,78,2808096550,372,117,843,4,90,76,91,50,54,0,7,5
2,2022,8,26,12482,80,1109433169,291,184,537,45,128,56,38,97,4,0,35,4
3,2017,7,21,13387,64,1047101291,77,58,247,1,79,56,58,56,37,0,11,10
3,2023,6,23,1117,80,65156199,82,145,65,16,144,77,75,58,52,0,23,25
1,2020,11,27,3372,19,570515054,65,48,138,1,122,67,49,64,10,0,10,3
1,2022,5,13,8431,76,1085685420,241,127,458,37,140,71,82,81,11,0,6,5
1,2016,11,24,2483,59,1647990401,68,21,24,0,134,59,51,52,9,0,15,7
2,2016,9,21,29536,79,2565529693,281,137,2.445,1,186,68,49,59,16,0,13,28
2,2023,2,24,3408,47,518745108,87,86,74,1,67,53,50,53,23,0,44,7
3,2023,6,2,1298,38,107753850,44,64,57,10,106,72,17,64,7,0,10,5
3,2023,4,6,4277,66,177740666,145,111,213,11,128,60,23,91,0,0,12,3
1,2023,2,24,1133,39,153372011,14,71,23,10,107,92,55,70,18,0,15,7
1,2023,6,15,2259,59,57876440,0,0,109,17,130,67,96,88,12,19,8,4
1,2012,10,15,18371,83,1813673666,250,122,3.394,19,123,45,13,54,70,0,9,4
1,2019,11,29,43899,69,3703895074,672,199,3.421,20,171,50,38,80,0,0,9,7
1,2023,2,24,2649,42,256483385,67,79,57,1,137,64,88,72,51,0,17,5
1,2022,5,26,6804,45,1214083358,139,111,161,15,125,84,85,68,58,0,22,4
1,2023,7,14,525,41,16011326,34,115,39,6,128,86,42,72,59,0,9,19
1,2020,7,24,7923,29,812019557,106,112,142,4,130,61,53,58,55,0,27,4
2,2023,5,4,731,15,111947664,27,17,73,4,130,86,59,96,50,1,9,5
2,2023,2,3,5184,41,156338624,154,84,102,14,133,70,86,81,25,0,25,5
3,2022,6,24,3107,39,720434240,38,0,4,0,101,88,72,59,62,0,9,3
2,2023,3,24,4053,50,357925728,82,121,182,12,95,77,53,64,74,0,17,14
2,2022,10,6,4637,38,674072710,63,79,89,11,98,90,40,59,0,0,10,29
1,1999,1,1,31358,43,1755214421,196,2,4.053,5,173,43,28,66,0,0,23,3
1,2022,10,21,3818,23,404562836,37,55,32,0,90,64,10,62,7,0,48,7
1,2022,12,2,3506,56,373199958,105,64,169,8,198,59,71,42,55,0,10,7
1,2023,7,14,410,36,14780425,36,32,31,1,140,56,48,73,0,0,35,4
1,2023,7,7,148,24,39578178,32,93,8,2,82,51,22,53,1,0,15,3
2,2023,6,23,1004,35,54266102,42,80,58,3,130,77,84,89,17,0,43,5
1,2020,6,28,22543,63,2557975762,386,144,707,28,81,76,53,53,44,0,9,9
1,2022,7,15,4511,36,751134527,70,58,109,18,94,51,14,59,65,18,25,3
1,2012,5,14,16413,61,2282771485,166,87,1.056,1,124,61,41,81,5,2,10,3
2,2022,7,6,8506,45,1356565093,94,65,164,14,128,62,55,78,1,3,23,4
1,2008,1,1,33898,62,1592909789,233,0,4.095,9,138,49,42,62,9,0,11,3
1,2022,7,17,3246,23,635412045,94,85,68,1,132,58,27,48,50,0,12,3
2,2022,9,22,8576,42,1230675890,216,108,331,26,131,71,24,47,1,0,27,9
2,2022,12,20,3618,38,585695368,47,74,80,14,168,78,58,73,5,0,10,7
1,2023,6,22,370,20,43857627,12,16,18,4,98,68,40,79,33,0,30,6
1,1975,1,1,31123,55,2009094673,300,65,1.003,1,102,48,50,73,43,0,15,4
2,2022,4,22,2790,30,600976848,60,96,71,0,101,34,32,57,78,0,20,3
2,2023,6,23,267,9,39709092,9,6,25,2,130,63,36,34,76,0,35,9
1,2023,7,7,139,17,39228929,16,72,5,0,142,50,20,64,1,0,12,3
2,2021,7,9,17050,36,2665343922,492,99,798,31,170,59,48,76,4,0,10,5
2,2023,3,3,2114,44,223633238,80,75,110,11,124,78,70,68,3,1,11,4
1,2018,11,8,17836,53,2887241814,440,125,1.8,0,110,50,45,41,75,0,11,3
2,2022,5,6,8870,43,1440757818,104,120,141,26,92,91,43,71,9,0,9,8
1,2015,6,22,6060,53,165484133,150,148,2.703,22,116,82,40,66,39,51,25,7
2,2012,6,20,641,50,58054811,1,52,8,0,129,63,84,82,70,8,9,7
1,2023,3,24,1446,12,157058870,57,97,35,0,98,71,67,60,19,0,12,3
1,2023,3,17,804,25,95131998,29,76,24,0,172,74,76,76,6,0,10,9
2,2023,3,17,1962,38,250305248,28,89,29,5,150,68,14,76,4,0,10,4
1,2017,11,8,4875,23,685032533,19,45,0,0,136,62,19,53,11,0,6,4
1,2020,6,5,31,39,38411956,2,107,8,0,88,53,34,47,9,0,83,4
2,2023,5,12,2175,23,144565150,69,145,69,2,143,83,69,44,15,0,10,33
1,2023,3,17,2000,46,127567540,49,105,63,1,100,49,17,35,71,9,11,3
1,2022,12,9,2839,25,399686758,58,156,42,1,143,56,39,55,14,0,11,13
1,2011,1,1,20333,52,983637508,89,143,1.632,3,112,56,24,66,7,0,12,3
1,2023,6,9,674,47,118482347,20,106,25,4,93,62,57,59,3,0,38,3
1,2012,1,1,8448,23,882831184,160,110,163,0,206,43,50,55,50,0,15,10
3,2022,12,2,2110,58,286400165,17,119,19,2,88,68,17,71,15,0,11,5
1,2023,4,14,2528,39,172825906,56,91,59,3,170,50,37,90,0,0,12,5
1,2004,1,1,12985,61,1241559043,49,98,2.394,5,84,62,24,67,21,0,13,28
1,2023,7,7,77,35,29562220,8,166,4,4,134,81,53,72,51,0,12,5
1,2022,4,20,266,27,77309611,6,40,6,6,158,54,50,40,61,0,10,6
3,2017,11,10,21097,52,1605224506,384,135,1.034,37,116,80,92,80,4,0,10,3
1,2017,4,28,3423,21,1116995633,41,100,59,1,117,61,45,69,2,0,9,3
1,2021,3,11,4198,44,838079900,98,108,327,17,114,77,65,72,2,0,7,5
1,2011,1,1,14739,43,1163620694,88,112,2.163,5,108,61,47,68,0,0,13,3
2,2012,1,1,26792,32,1093605526,69,113,695,0,144,74,37,53,7,0,21,10
1,2022,12,2,213,6,179659294,7,6,0,0,130,51,18,44,76,0,11,3
2,2023,6,22,58,18,39058561,2,106,4,2,116,77,79,62,33,1,15,3
1,2023,7,7,99,15,36912123,21,52,6,1,121,65,49,78,0,0,17,4
1,1985,2,17,41751,25,1205951614,101,32,2.655,0,112,64,54,81,36,0,11,6
1,2014,12,9,21164,36,1791000570,80,65,476,0,100,70,47,52,30,0,6,33
1,2023,2,25,2988,59,201660859,74,102,145,18,150,55,30,78,24,0,12,8
2,2023,2,8,893,38,248088961,19,23,24,3,120,84,96,71,18,0,34,17
3,2023,5,12,1094,34,90839753,40,58,47,8,127,82,89,85,4,0,23,6
1,2020,7,24,7324,22,607123776,25,81,61,1,90,51,42,61,53,0,9,3
2,2023,6,22,201,11,55842345,19,117,8,1,128,75,79,63,33,0,15,4
2,2023,3,10,5120,48,211050784,161,115,246,9,143,64,31,87,4,4,8,4
1,2022,7,15,2346,27,342897938,69,12,38,8,139,74,68,68,3,0,26,4
2,2022,12,9,763,26,2762,21,110,21,9,162,49,78,64,19,0,11,4
1,2021,6,11,457,24,330346424,8,116,4,3,92,81,39,60,31,0,7,3
1,2022,8,19,3430,38,601863821,45,69,52,4,95,87,57,55,10,0,29,7
3,2011,8,16,6074,52,1953533826,201,44,6.551,2,146,63,88,93,3,0,10,8
1,2019,11,17,21915,34,2322580122,437,115,1.212,12,95,55,56,82,12,0,34,5
2,2017,8,11,15032,30,2355719893,221,96,1.078,2,115,35,12,30,93,0,10,3
2,2023,6,21,871,32,66902503,25,59,32,5,128,78,59,65,10,0,26,5
1,2023,5,15,451,33,96273746,10,126,7,0,130,82,69,83,3,0,27,5
1,2023,1,2,1783,27,430977451,26,124,15,1,127,80,74,77,36,0,11,4
1,2011,1,1,9389,46,284819874,24,122,282,3,150,42,20,86,21,0,9,9
2,2023,1,11,5724,44,721975598,119,108,254,29,122,78,50,63,27,0,9,5
1,2007,4,20,13985,25,1217120710,30,80,588,1,140,52,20,85,0,0,7,5
4,2023,6,2,1051,16,109276132,31,37,31,0,140,63,22,54,46,0,12,8
3,2022,12,2,1682,46,276259178,24,90,30,1,119,75,48,53,18,0,18,34
5,2023,5,22,182,8,54225632,3,88,1,0,110,76,96,72,32,0,9,4
1,2017,1,1,16596,13,2559529074,7,0,2.094,0,95,60,17,45,16,0,11,2
1,2022,7,20,2335,23,681583126,82,55,50,0,132,56,20,55,45,1,32,3
1,2017,1,31,18986,23,2594040133,250,121,2.969,10,125,77,74,78,4,0,23,11
4,2023,5,19,283,7,81102253,6,9,26,1,124,84,65,50,67,0,13,6
2,2023,6,1,293,8,11956641,5,2,30,2,133,93,68,65,42,0,12,25
1,2002,1,1,21081,43,1687664027,98,76,3.889,5,112,92,67,66,0,0,36,9
3,2023,7,13,437,31,11599388,17,29,26,3,97,79,92,89,5,0,6,5
2,2016,11,24,1275,32,611700552,13,8,5,0,90,59,52,48,38,5,10,11
2,2022,5,6,6135,38,1133865788,71,113,99,13,80,65,27,69,8,0,53,4
1,2004,1,1,20015,16,1089402494,107,69,5.239,0,172,45,33,59,6,0,8,3
1,2019,5,10,1507,14,411747614,24,71,44,1,120,60,24,35,73,0,31,3
1,2023,1,27,539,21,255932395,7,71,4,2,140,74,96,80,18,0,5,5
1,2023,6,30,86,8,31873544,7,76,3,1,128,81,90,77,1,0,9,5
