22.14  PRINCIPALES INDICADORES DE LA CAPACIDAD DE ALOJAMIENTO DE LOS ESTABLECIMIENTOS;;;;;;;;22.14  PRINCIPALES INDICADORES DE LA CAPACIDAD DE ALOJAMIENTO DE LOS ESTABLECIMIENTOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
           DE HOSPEDAJE, SEGÚN CATEGORÍA, 2018-2022;;;;;;;;            DE HOSPEDAJE, SEGÚN CATEGORÍA, 2018-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Conclusión;;;;;;;;;;;;;;;;;;;;;;;;;;;
Categoría;Número de Arribos;;;;Número de Pernoctaciones;;;Categoría;Permanencia promedio 1/;;;;Tasa Neta de Ocupación ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;Nacionales;Extranjeros;;Total;Nacionales;Extranjeros;;Total;Nacionales;Extranjeros;;Habitaciones;Camas;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;21 656 839;18 251 461;3 405 378;;30 430 808;23 716 256;6 714 552;2007;1.4;1.3;2.0;;25.6;28.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 Estrellas; 518 462; 87 577; 430 885;;1 054 839; 144 776; 910 063;5 Estrellas;2.0;1.7;2.1;;64.5;50.6;;;;;;;;;;;;;;;;;;;;;;;;;;;
4 Estrellas; 349 724; 95 338; 254 386;; 695 289; 186 037; 509 252;4 Estrellas;2.0;2.0;2.0;;64.4;53.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 Estrellas;1 622 350; 907 981; 714 369;;2 751 514;1 529 701;1 221 813;3 Estrellas;1.7;1.7;1.7;;35.3;30.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Estrellas;2 325 070;2 154 292; 170 778;;3 006 502;2 705 173; 301 329;2 Estrellas;1.3;1.3;1.8;;26.3;23.7;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 Estrella; 914 545; 885 693; 28 852;;1 085 512;1 036 524; 48 988;1 Estrella;1.2;1.2;1.7;;28.5;26.6;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albergue; 52 297; 14 972; 37 325;; 99 940; 23 092; 76 848;Albergue;1.9;1.5;2.1;;17.7;15.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecolodge; 6 530;  446; 6 084;; 13 222;  636; 12 586;Ecolodge;2.0;1.4;2.1;;42.9;37.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
No Categorizados;15 867 862;14 105 162;1 762 700;;21 723 990;18 090 317;3 633 673;No Categorizados;1.4;1.3;2.1;;25.7;28.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;24 809 940;20 345 435;4 464 505;;34 228 817;25 904 135;8 324 682;2008;1.4;1.3;1.9;;27.6;30.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 Estrellas; 463 864; 75 802; 388 062;; 968 346; 130 195; 838 151;5 Estrellas;2.1;1.7;2.2;;57.3;45.9;;;;;;;;;;;;;;;;;;;;;;;;;;;
4 Estrellas; 428 193; 97 431; 330 762;; 810 493; 183 826; 626 667;4 Estrellas;1.9;1.9;1.9;;64.7;51.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 Estrellas;1 746 961; 954 833; 792 128;;2 932 649;1 593 380;1 339 269;3 Estrellas;1.7;1.7;1.7;;37.5;31.7;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Estrellas;2 694 978;2 488 908; 206 070;;3 505 415;3 139 627; 365 788;2 Estrellas;1.3;1.3;1.8;;28.8;26.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 Estrella; 945 314; 917 017; 28 297;;1 109 798;1 067 414; 42 384;1 Estrella;1.2;1.2;1.5;;29.6;27.6;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albergue; 80 687; 19 993; 60 694;; 141 704; 30 139; 111 565;Albergue;1.8;1.5;1.8;;21.3;17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecolodge; 7 545;  576; 6 969;; 15 440;  946; 14 494;Ecolodge;2.0;1.6;2.1;;47.9;38.9;;;;;;;;;;;;;;;;;;;;;;;;;;;
No Categorizados;18 442 397;15 790 874;2 651 523;;24 744 972;19 758 608;4 986 364;No Categorizados;1.3;1.3;1.9;;26.9;30.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;26 713 961;22 494 856;4 219 105;;36 412 017;28 459 929;7 952 088;2009;1.4;1.3;1.9;;27.1;30.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 Estrellas; 427 788; 70 040; 357 748;; 871 660; 115 613; 756 047;5 Estrellas;2.0;1.6;2.1;;45.9;36.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
4 Estrellas; 456 774; 112 003; 344 771;; 860 815; 208 327; 652 488;4 Estrellas;1.9;1.9;1.9;;53.9;42.6;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 Estrellas;1 693 282; 980 739; 712 543;;2 774 810;1 546 364;1 228 446;3 Estrellas;1.6;1.6;1.7;;33.8;28.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Estrellas;2 758 196;2 543 668; 214 528;;3 627 303;3 246 722; 380 581;2 Estrellas;1.3;1.3;1.8;;28.1;25.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 Estrella; 943 398; 913 797; 29 601;;1 111 712;1 069 988; 41 724;1 Estrella;1.2;1.2;1.4;;28.7;26.8;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albergue; 72 518; 21 392; 51 126;; 129 504; 32 753; 96 751;Albergue;1.8;1.5;1.9;;19.2;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecolodge; 5 630;  932; 4 698;; 12 498; 1 718; 10 780;Ecolodge;2.2;1.8;2.3;;37.2;29.3;;;;;;;;;;;;;;;;;;;;;;;;;;;
No Categorizados;20 356 374;17 852 284;2 504 090;;27 023 714;22 238 443;4 785 271;No Categorizados;1.3;1.2;1.9;;26.6;30.9;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;31 411 393;26 907 577;4 503 817;;42 167 693;33 711 292;8 456 401;2010;1.3;1.3;1.9;;27.7;33.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
